[2025/05/28 20:12:45] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:16:36] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:19] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/28 20:19:22] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/28 21:15:56] - 36 	 0.010 	 21.7 	 0.0635 	 0.9794 	 0.0003 	 1.0000 	 0.2422 	 0.9253
[2025/05/28 21:16:18] - 37 	 0.010 	 21.7 	 0.0604 	 0.9813 	 0.0002 	 1.0000 	 0.2459 	 0.9238
[2025/05/28 21:16:39] - 38 	 0.010 	 21.7 	 0.0533 	 0.9837 	 0.0018 	 0.9994 	 0.2548 	 0.9215
[2025/05/28 21:17:01] - 39 	 0.010 	 21.8 	 0.0496 	 0.9845 	 0.0004 	 1.0000 	 0.2592 	 0.9210
[2025/05/28 21:17:23] - 40 	 0.010 	 21.7 	 0.0449 	 0.9866 	 0.0008 	 0.9998 	 0.2626 	 0.9228
[2025/05/28 21:17:45] - 41 	 0.001 	 21.7 	 0.0356 	 0.9900 	 0.0005 	 0.9999 	 0.2557 	 0.9243
[2025/05/28 21:18:06] - 42 	 0.001 	 21.7 	 0.0341 	 0.9908 	 0.0003 	 1.0000 	 0.2542 	 0.9243
[2025/05/28 21:18:28] - 43 	 0.001 	 21.8 	 0.0326 	 0.9914 	 0.0005 	 0.9999 	 0.2541 	 0.9255
[2025/05/28 21:18:50] - 44 	 0.001 	 21.8 	 0.0311 	 0.9916 	 0.0004 	 0.9999 	 0.2550 	 0.9247
[2025/05/28 21:19:12] - 45 	 0.001 	 21.8 	 0.0309 	 0.9915 	 0.0004 	 0.9999 	 0.2544 	 0.9245
[2025/05/28 21:19:34] - 46 	 0.001 	 21.7 	 0.0295 	 0.9926 	 0.0006 	 0.9999 	 0.2547 	 0.9243
